name,close,index,date
IBM,7.226666,1,1962-01-01
Z_index,68.839996,1,1962-01-01
IBM,7.1599998,.99077499,1962-02-01
Z_index,69.959999,1.0162697,1962-02-01
IBM,7.103333,.98293364,1962-03-01
Z_index,69.550003,1.0103139,1962-03-01
IBM,6.0533328,.83763838,1962-04-01
Z_index,65.239998,.94770485,1962-04-01
IBM,5.2333331,.72416979,1962-05-01
Z_index,59.630001,.86621159,1962-05-01
IBM,4.523334,.62592268,1962-06-01
Z_index,54.75,.79532254,1962-06-01
IBM,5.1599998,.71402216,1962-07-01
Z_index,58.23,.84587455,1962-07-01
IBM,5.2833328,.73108858,1962-08-01
Z_index,59.119999,.85880303,1962-08-01
IBM,4.7133331,.65221405,1962-09-01
Z_index,56.27,.81740272,1962-09-01
IBM,4.6133332,.63837641,1962-10-01
Z_index,56.52,.82103431,1962-10-01
IBM,5.313334,.73524004,1962-11-01
Z_index,62.259998,.90441608,1962-11-01
IBM,5.1999998,.71955723,1962-12-01
Z_index,63.099998,.91661829,1962-12-01
IBM,5.6500001,.78182667,1963-01-01
Z_index,66.199997,.96165019,1963-01-01
IBM,5.3299999,.73754621,1963-02-01
Z_index,64.290001,.93390477,1963-02-01
IBM,5.6133332,.77675283,1963-03-01
Z_index,66.57,.96702504,1963-03-01
IBM,6.1833329,.85562736,1963-04-01
Z_index,69.800003,1.0139455,1963-04-01
IBM,6.3633332,.88053513,1963-05-01
Z_index,70.800003,1.0284719,1963-05-01
IBM,5.8166671,.80488944,1963-06-01
Z_index,69.370003,1.0076991,1963-06-01
IBM,5.793334,.80166072,1963-07-01
Z_index,69.129997,1.0042127,1963-07-01
IBM,5.9299998,.82057202,1963-08-01
Z_index,72.5,1.0531669,1963-08-01
IBM,6.0266671,.83394849,1963-09-01
Z_index,71.699997,1.0415456,1963-09-01
IBM,6.5866671,.91143924,1963-10-01
Z_index,74.010002,1.0751017,1963-10-01
IBM,6.4699998,.89529526,1963-11-01
Z_index,73.230003,1.0637711,1963-11-01
IBM,6.7600002,.93542445,1963-12-01
Z_index,75.019997,1.0897734,1963-12-01
IBM,7.226666,1,1964-01-01
Z_index,77.040001,1.1191169,1964-01-01
IBM,7.5866671,1.0498157,1964-02-01
Z_index,77.800003,1.130157,1964-02-01
IBM,7.9233332,1.0964023,1964-03-01
Z_index,78.980003,1.1472982,1964-03-01
IBM,7.603333,1.0521219,1964-04-01
Z_index,79.459999,1.1542708,1964-04-01
IBM,8,1.1070112,1964-05-01
Z_index,80.370003,1.1674899,1964-05-01
IBM,7.9499998,1.1000923,1964-06-01
Z_index,81.690002,1.1866648,1964-06-01
IBM,7.6999998,1.0654982,1964-07-01
